station name,latitude,longitude,county,peninsula,# months
"WILLIS 5 SSW, MI US",#N/A,#N/A,,,0
"BRULE ISLAND, WI US",#N/A,#N/A,,,0
"CORUNNA 2 NE, MI US",#N/A,#N/A,,,0
"COVINGTON 1 NNW, MI US",#N/A,#N/A,,,0
"ESCANABA DELTA CO AIRPORT, MI US",#N/A,#N/A,,,0
"HOUGHTON MTU, MI US",#N/A,#N/A,,,0
"OSCODA WURTSMITH AIRPORT, MI US",#N/A,#N/A,,,0
"PELLSTON AIRPORT NUMBER 2, MI US",#N/A,#N/A,,,0
"BARAGA 5 W, MI US",#N/A,#N/A,,,0
"CAPAC 2 N, MI US",#N/A,#N/A,,,0
"CHIPPEWA INTERNATIONAL AIRPORT, MI US",#N/A,#N/A,,,0
"CRYSTAL FALLS 6 NE, MI US",#N/A,#N/A,,,0
"HELL, MI US",#N/A,#N/A,,,0
"FIFE LAKE 3 WSW, MI US",#N/A,#N/A,,,0
"FIFE LAKE 4 SW, MI US",#N/A,#N/A,,,0
"OIL CITY 2 S, MI US",#N/A,#N/A,,,0
"PARADISE, MI US",#N/A,#N/A,,,0
"SAGINAW 5 W, MI US",#N/A,#N/A,,,0
"KEARSARGE, MI US",#N/A,#N/A,,,0
"AHMEEK 1 SW, MI US",#N/A,#N/A,,,0
"MERRILL 1 N, MI US",#N/A,#N/A,,,0
"NWSFO GRAND RAPIDS, MI US",#N/A,#N/A,,,0
"SAMARIA, MI US",#N/A,#N/A,,,0
"CORNELL 4 WSW, MI US",#N/A,#N/A,,,0
"ALBION, MI US",#N/A,#N/A,,,0
"BAD AXE 8 E, MI US",#N/A,#N/A,,,0
"BAY CITY, MI US",#N/A,#N/A,,,0
"BERKLEY, MI US",#N/A,#N/A,,,0
"CANTON, MI US",#N/A,#N/A,,,0
"EAST HOUGHTON LAKE, MI US",#N/A,#N/A,,,0
"EASTPOINTE, MI US",#N/A,#N/A,,,0
"ELKHORN MICHIGAN, MI US",#N/A,#N/A,,,0
"ELLSWORTH 2 ENE, MI US",#N/A,#N/A,,,0
"FRANKENMUTH 1 SE, MI US",#N/A,#N/A,,,0
