"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"06/04/2024","AQS","260050003","1","0.057","ppm","58","1016 W. 32nd St (Holland)","17","100.0000","44201","Ozone","087","26090","Holland, MI","26","Michigan","005","Allegan","42.7682333333333","-86.1506360833333"
"06/05/2024","AQS","260050003","1","0.051","ppm","47","1016 W. 32nd St (Holland)","17","100.0000","44201","Ozone","087","26090","Holland, MI","26","Michigan","005","Allegan","42.7682333333333","-86.1506360833333"
"06/06/2024","AQS","260050003","1","0.042","ppm","39","1016 W. 32nd St (Holland)","17","100.0000","44201","Ozone","087","26090","Holland, MI","26","Michigan","005","Allegan","42.7682333333333","-86.1506360833333"
"06/07/2024","AQS","260050003","1","0.036","ppm","33","1016 W. 32nd St (Holland)","17","100.0000","44201","Ozone","087","26090","Holland, MI","26","Michigan","005","Allegan","42.7682333333333","-86.1506360833333"
"06/08/2024","AQS","260050003","1","0.041","ppm","38","1016 W. 32nd St (Holland)","17","100.0000","44201","Ozone","087","26090","Holland, MI","26","Michigan","005","Allegan","42.7682333333333","-86.1506360833333"
"06/09/2024","AQS","260050003","1","0.046","ppm","43","1016 W. 32nd St (Holland)","17","100.0000","44201","Ozone","087","26090","Holland, MI","26","Michigan","005","Allegan","42.7682333333333","-86.1506360833333"
"06/10/2024","AQS","260050003","1","0.036","ppm","33","1016 W. 32nd St (Holland)","17","100.0000","44201","Ozone","087","26090","Holland, MI","26","Michigan","005","Allegan","42.7682333333333","-86.1506360833333"
"06/11/2024","AQS","260050003","1","0.043","ppm","40","1016 W. 32nd St (Holland)","17","100.0000","44201","Ozone","087","26090","Holland, MI","26","Michigan","005","Allegan","42.7682333333333","-86.1506360833333"
"06/12/2024","AQS","260050003","1","0.074","ppm","112","1016 W. 32nd St (Holland)","17","100.0000","44201","Ozone","087","26090","Holland, MI","26","Michigan","005","Allegan","42.7682333333333","-86.1506360833333"
"06/13/2024","AQS","260050003","1","0.074","ppm","112","1016 W. 32nd St (Holland)","17","100.0000","44201","Ozone","087","26090","Holland, MI","26","Michigan","005","Allegan","42.7682333333333","-86.1506360833333"
"06/14/2024","AQS","260050003","1","0.051","ppm","47","1016 W. 32nd St (Holland)","17","100.0000","44201","Ozone","087","26090","Holland, MI","26","Michigan","005","Allegan","42.7682333333333","-86.1506360833333"
"06/15/2024","AQS","260050003","1","0.055","ppm","51","1016 W. 32nd St (Holland)","17","100.0000","44201","Ozone","087","26090","Holland, MI","26","Michigan","005","Allegan","42.7682333333333","-86.1506360833333"
"06/16/2024","AQS","260050003","1","0.068","ppm","93","1016 W. 32nd St (Holland)","17","100.0000","44201","Ozone","087","26090","Holland, MI","26","Michigan","005","Allegan","42.7682333333333","-86.1506360833333"
"06/17/2024","AQS","260050003","1","0.075","ppm","115","1016 W. 32nd St (Holland)","17","100.0000","44201","Ozone","087","26090","Holland, MI","26","Michigan","005","Allegan","42.7682333333333","-86.1506360833333"
"06/18/2024","AQS","260050003","1","0.038","ppm","35","1016 W. 32nd St (Holland)","17","100.0000","44201","Ozone","087","26090","Holland, MI","26","Michigan","005","Allegan","42.7682333333333","-86.1506360833333"
