"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","CDSD_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","46.47998","-84.35809","219.8","1970-03","0","0","-11",",0,08,","46",",0,19,","8157","0","20.2",",0","29.4",",,,0","11.0",",,,0"
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","46.47998","-84.35809","219.8","1970-04","0","0","12",",0,05,","77",",0,28,+","8939","0","38.9",",0","48.8",",,,0","29.1",",,,0"
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","46.47998","-84.35809","219.8","1970-05","0","0","24",",0,06,","80",",0,21,","9476","0","47.7",",0","57.2",",,,0","38.1",",,,0"
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","46.47998","-84.35809","219.8","1970-06","20","0","35",",0,21,","83",",0,30,+","9686","0","58.6",",0","72.4",",,,0","44.9",",,,0"
"USC00201804","CORNELL 6 NNW, MI US","45.98333","-87.26667","278.0","1970-05",,,,,,,,,,,,,,
"USC00207867","STEPHENSON 8 WNW, MI US","45.39028","-87.7025","210.3","1970-01","0","0","-20",",0,22,+","41",",0,31,","4883","0","10.7",",0","20.5",",,,0","0.8",",,,0"
"USC00207867","STEPHENSON 8 WNW, MI US","45.39028","-87.7025","210.3","1970-02","0","0","-27",",0,14,","45",",0,23,+","6248","0","16.2",",0","29.2",",,,0","3.2",",,,0"
"USC00207867","STEPHENSON 8 WNW, MI US","45.39028","-87.7025","210.3","1970-03","0","0","0",",0,09,+","57",",0,21,","7463","0","25.8",",0","37.4",",,,0","14.2",",,,0"
"USC00207867","STEPHENSON 8 WNW, MI US","45.39028","-87.7025","210.3","1970-04","5","0","18",",0,11,+","78",",0,26,","8057","0","45.4",",0","56.1",",,,0","34.6",",,,0"
"USC00207867","STEPHENSON 8 WNW, MI US","45.39028","-87.7025","210.3","1970-05","11","0","20",",0,06,","87",",0,21,","8429","0","53.2",",0","64.4",",,,0","42.0",",,,0"
"USC00207867","STEPHENSON 8 WNW, MI US","45.39028","-87.7025","210.3","1970-06","98","0","33",",0,21,","98",",0,29,","8523","0","64.8",",0","78.9",",,,0","50.6",",,,0"
"USC00200032","ADRIAN 2 NNE, MI US","41.91636","-84.01635","231.6","1970-01","0","0","-13",",0,24,","46",",0,28,","4163","0","16.6",",0","26.7",",,,0","6.4",",,,0"
"USC00200032","ADRIAN 2 NNE, MI US","41.91636","-84.01635","231.6","1970-02","0","0","-6",",0,14,","52",",0,24,+","5290","0","24.7",",0","34.6",",,,0","14.9",",,,0"
"USC00200032","ADRIAN 2 NNE, MI US","41.91636","-84.01635","231.6","1970-03","0","0","8",",0,16,","54",",0,21,","6314","0","32.0",",0","40.6",",,,0","23.4",",,,0"
"USC00200032","ADRIAN 2 NNE, MI US","41.91636","-84.01635","231.6","1970-04","17","0","25",",0,11,+","85",",0,30,","6830","0","48.4",",0","58.7",",,,0","38.0",",,,0"
"USC00200032","ADRIAN 2 NNE, MI US","41.91636","-84.01635","231.6","1970-05","59","0","29",",0,07,","87",",0,22,","7014","0","60.4",",0","72.0",",,,0","48.8",",,,0"
"USC00200032","ADRIAN 2 NNE, MI US","41.91636","-84.01635","231.6","1970-06","195","0","43",",0,20,","96",",0,30,","7078","0","67.4",",0","79.5",",,,0","55.3",",,,0"
"USC00205168","MARLETTE, MI US","43.3308","-83.0663","249.9","1970-02",,,,,,,,,,,,,,
"USC00205168","MARLETTE, MI US","43.3308","-83.0663","249.9","1970-03",,,,,,,,,,,,,,
"USC00205168","MARLETTE, MI US","43.3308","-83.0663","249.9","1970-04",,,,,,,,,,,,,,
"USC00205168","MARLETTE, MI US","43.3308","-83.0663","249.9","1970-05",,,,,,,,,,,,,,
"USC00204078","IONIA 2 SSW, MI US","42.953","-85.0777","245.4","1970-01","0","0","-10",",0,21,","47",",0,29,",,,"16.5",",0","24.6",",,,0","8.3",",,,0"
"USC00204078","IONIA 2 SSW, MI US","42.953","-85.0777","245.4","1970-02","0","0","-8",",0,14,+","46",",0,01,",,,"22.9",",0","32.1",",,,0","13.8",",,,0"
"USC00204078","IONIA 2 SSW, MI US","42.953","-85.0777","245.4","1970-03","0","0","4",",0,15,","52",",0,21,+",,,"29.2",",0","38.9",",,,0","19.7",",,,0"
"USC00204078","IONIA 2 SSW, MI US","42.953","-85.0777","245.4","1970-04","20","0","17",",0,03,","85",",0,29,",,,"46.8",",0","58.0",",,,0","35.7",",,,0"
"USC00204078","IONIA 2 SSW, MI US","42.953","-85.0777","245.4","1970-05","67","0","27",",0,06,","88",",0,21,",,,"59.9",",0","71.1",",,,0","48.7",",,,0"
"USC00204078","IONIA 2 SSW, MI US","42.953","-85.0777","245.4","1970-06","189","0","40",",0,20,+","94",",0,30,",,,"67.0",",0","78.5",",,,0","55.5",",,,0"
"USC00202298","DUNBAR FOREST EXPERIMENTAL ST, MI US","46.31667","-84.23333","182.9","1970-01","0","0","-25",",0,21,","33",",0,31,","5120","0","9.5",",0","18.9",",,,0","0.1",",,,0"
"USC00202298","DUNBAR FOREST EXPERIMENTAL ST, MI US","46.31667","-84.23333","182.9","1970-02","0","0","-30",",0,13,","40",",0,02,+","6603","0","12.0",",0","24.8",",,,0","-0.8",",,,0"
"USC00202298","DUNBAR FOREST EXPERIMENTAL ST, MI US","46.31667","-84.23333","182.9","1970-03","0","0","-10",",0,10,+","49",",0,19,","7961","0","21.2",",0","32.9",",,,0","9.5",",,,0"
"USC00202298","DUNBAR FOREST EXPERIMENTAL ST, MI US","46.31667","-84.23333","182.9","1970-04","0","0","12",",0,05,","74",",0,27,","8735","0","39.2",",0","50.3",",,,0","28.1",",,,0"
"USC00202298","DUNBAR FOREST EXPERIMENTAL ST, MI US","46.31667","-84.23333","182.9","1970-05","0","0","24",",0,06,","78",",0,21,","9221","0","49.3",",0","59.9",",,,0","38.7",",,,0"
